Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19169787,0000046C,false,Rx,0,6,8B,10,4B,12,5B,1B,00,00,
19170565,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1C,00,00,
19171569,000007EC,false,Rx,0,8,CC,BB,00,00,00,00,00,D6,
19173928,0000046D,false,Rx,0,6,8C,99,4C,97,5C,A1,00,00,
19174727,0000047D,false,Rx,0,6,8C,A0,0C,A0,0C,9F,00,00,
19175732,000007ED,false,Rx,0,8,CC,C3,00,00,00,00,00,DF,
19179376,0000046E,false,Rx,0,6,8C,A1,4C,A2,5C,A9,00,00,
19180165,0000047E,false,Rx,0,6,8C,A9,0C,A9,0C,A9,00,00,
19181210,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
19196211,00000200,false,Rx,0,3,52,C0,00,00,00,00,00,00,
19294061,00000460,false,Rx,0,6,8B,0E,AB,0D,DB,15,00,00,
19294858,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
19295893,000007E0,false,Rx,0,8,4C,B1,00,00,00,00,00,BE,
19300466,00000461,false,Rx,0,8,8B,09,AB,0A,DB,11,0B,12,
19301375,00000471,false,Rx,0,8,8B,10,0B,11,0B,10,0B,11,
19302381,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
19303345,000007E1,false,Rx,0,8,4C,A4,00,00,00,00,00,B2,
19304127,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
19310736,00000463,false,Rx,0,8,8B,10,AB,13,DB,1D,0B,1C,
19311637,00000473,false,Rx,0,8,8B,19,0B,1B,0B,1B,0B,1C,
19312623,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
19315566,00000464,false,Rx,0,8,8C,C6,AC,C5,DC,D4,0C,D4,
19316476,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D4,0C,D3,
19317460,000007E4,false,Rx,0,8,4C,B5,00,00,00,00,00,C6,
19325806,00000466,false,Rx,0,8,8C,6F,AC,6D,DC,77,0C,79,
19326716,00000476,false,Rx,0,8,8C,79,0C,78,0C,77,0C,76,
19327701,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
19350300,00000468,false,Rx,0,8,8C,A3,AC,A4,DC,A9,0C,A9,
19351230,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
19352194,000007E8,false,Rx,0,8,4C,93,00,00,00,00,00,A8,
19360937,0000046A,false,Rx,0,8,8C,B0,AC,B2,DC,B7,0C,B8,
19361837,0000047A,false,Rx,0,8,8C,B7,0C,B7,0C,B7,0C,B7,
19362821,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
19369790,0000046C,false,Rx,0,6,8B,11,AB,11,DB,1A,00,00,
19370578,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
19371604,000007EC,false,Rx,0,8,4C,BB,00,00,00,00,00,D4,
19373964,0000046D,false,Rx,0,6,8C,99,AC,97,DC,A1,00,00,
19374752,0000047D,false,Rx,0,6,8C,A1,0C,A0,0C,9F,00,00,
19375767,000007ED,false,Rx,0,8,4C,C3,00,00,00,00,00,DD,
19379402,0000046E,false,Rx,0,6,8C,A1,AC,A2,DC,A9,00,00,
19380190,0000047E,false,Rx,0,6,8C,A9,0C,A7,0C,A8,00,00,
19381224,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
19396218,00000200,false,Rx,0,3,D2,F3,00,00,00,00,00,00,
19494080,00000460,false,Rx,0,6,8B,0E,8B,0E,3B,14,00,00,
19494867,00000470,false,Rx,0,6,8B,18,0B,17,0B,17,00,00,
19495883,000007E0,false,Rx,0,8,CC,B0,00,00,00,00,00,BF,
19500476,00000461,false,Rx,0,8,8B,09,8B,0B,3B,13,0B,13,
19501386,00000471,false,Rx,0,8,8B,11,0B,10,0B,10,0B,12,
19502391,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
19503363,000007E1,false,Rx,0,8,CC,A5,00,00,00,00,00,B5,
19504146,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
19510776,00000463,false,Rx,0,8,8B,0F,8B,12,3B,1A,0B,1C,
19511676,00000473,false,Rx,0,8,8B,1C,0B,1B,0B,1C,0B,1A,
19512670,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
19515592,00000464,false,Rx,0,8,8C,C5,8C,C6,3C,D6,0C,D3,
19516492,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D2,
19517458,000007E4,false,Rx,0,8,CC,B5,00,00,00,00,00,C8,
19525822,00000466,false,Rx,0,8,8C,6E,8C,6F,3C,79,0C,7A,
19526722,00000476,false,Rx,0,8,8C,79,0C,77,0C,76,0C,77,
19527727,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
19550310,00000468,false,Rx,0,8,8C,A3,8C,A3,3C,AA,0C,AA,
19551231,00000478,false,Rx,0,8,8C,A8,0C,A9,0C,AA,0C,AB,
19552196,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
19560958,0000046A,false,Rx,0,8,8C,B0,8C,B2,3C,B8,0C,B8,
19561858,0000047A,false,Rx,0,8,8C,B8,0C,B7,0C,B8,0C,B7,
19562855,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
19569814,0000046C,false,Rx,0,6,8B,10,8B,12,3B,1B,00,00,
19570622,0000047C,false,Rx,0,6,8B,1C,0B,1C,0B,1C,00,00,
19571617,000007EC,false,Rx,0,8,CC,BB,00,00,00,00,00,D6,
19573977,0000046D,false,Rx,0,6,8C,98,8C,97,3C,A2,00,00,
19574795,0000047D,false,Rx,0,6,8C,9F,0C,9F,0C,A0,00,00,
19575790,000007ED,false,Rx,0,8,CC,C3,00,00,00,00,00,DF,
19579435,0000046E,false,Rx,0,6,8C,A1,8C,A2,3C,A9,00,00,
19580243,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
19581259,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
19596230,00000200,false,Rx,0,3,52,05,00,00,00,00,00,00,
19694074,00000460,false,Rx,0,6,8B,0E,4B,0D,CB,15,00,00,
19694871,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
19695875,000007E0,false,Rx,0,8,4C,B0,00,00,00,00,00,BD,
19700459,00000461,false,Rx,0,8,8B,09,4B,09,CB,10,0B,12,
19701348,00000471,false,Rx,0,8,8B,12,0B,13,0B,13,0B,13,
19702353,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
19703327,000007E1,false,Rx,0,8,4C,A5,00,00,00,00,00,B3,
19704110,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
19710739,00000463,false,Rx,0,8,8B,12,4B,10,CB,1C,0B,1D,
19711659,00000473,false,Rx,0,8,8B,1A,0B,1C,0B,1C,0B,1A,
